Sales Order Number,Order Creation Date,Customer Number,Sales Organization,Line Item Number,Material Number,Product Description,Quantity Ordered,Unit of Measure,Net Order Value,Currency
5100006990,2024-11-18,10002002,2000,10,MAT-1002,Widget B,9,BOX,211.2,USD
5100005579,2024-08-12,10001001,2000,20,MAT-1002,Widget B,20,PCS,122.09,EUR
5100007406,2025-07-09,10003003,1000,30,MAT-1004,Gadget Y,12,PCS,464.71,EUR
5100001362,2024-10-31,10002002,1000,10,MAT-1005,Device Z,3,PCS,369.55,EUR
5100003088,2025-06-09,10002002,1000,20,MAT-1002,Widget B,7,PCS,174.19,INR
5100003081,2024-11-24,10001001,2000,30,MAT-1004,Gadget Y,6,PCS,145.32,INR
5100001326,2024-12-31,10002002,2000,10,MAT-1005,Device Z,6,BOX,278.42,INR
5100004779,2025-02-10,10001001,1000,20,MAT-1003,Gadget X,7,BOX,119.45,USD
5100007004,2025-04-01,10002002,2000,30,MAT-1001,Widget A,14,BOX,176.57,INR
5100009042,2024-12-27,10002002,1000,10,MAT-1001,Widget A,7,BOX,209.99,USD
